Date,Inflation_Rate
1979-12-01,13.30
1980-12-01,12.50
1981-12-01,8.90
1982-12-01,3.80
1983-12-01,3.80
1984-12-01,3.90
1985-12-01,3.80
1986-12-01,1.10
1987-12-01,4.40
1988-12-01,4.40
1989-12-01,4.60
1990-12-01,6.10
1991-12-01,3.10
1992-12-01,2.90
1993-12-01,2.70
1994-12-01,2.70
1995-12-01,2.50
1996-12-01,3.30
1997-12-01,1.70
1998-12-01,1.60
1999-12-01,2.70
2000-12-01,3.40
2001-12-01,1.60
2002-12-01,2.40
2003-12-01,1.90
2004-12-01,3.30
2005-12-01,3.40
2006-12-01,2.50
2007-12-01,4.10
2008-12-01,0.10
2009-12-01,2.70
2010-12-01,1.50
2011-12-01,3.00
2012-12-01,1.70
2013-12-01,1.50
2014-12-01,0.80
2015-12-01,0.70
2016-12-01,2.10
2017-12-01,2.10
2018-12-01,1.90
2019-12-01,2.30
2020-12-01,1.40
2021-12-01,7.00
